Artist,Spotify_ID
Antigen Shift,4r33PRzkWOOWXayZrwJtAW
Antibody,3FS65UMgc6stD2PLYYmt86
Apnoie,3HnkksErqUwBlTU3S7bGFb
Apoptygma Berzerk,3OHbToMuJihWhRcqzKjpBd
Argyle Park,2IIRfan7YtrHcldR6G8EmM
Ari Mason,0V8zk3mDbTH54fs1bdqx8y
Arise-X,1aM5UNDlRJAlXun0MuB7RH
Army of The Universe,1qo5YUcnAuIcq0yOVce6kk
Arogya,5om5zGAydXS98TKj1zDAz8
Ascii.Disko,3ryQXfij07gcxeck68pBEx
Ash Code,5RgEBlZV41hfY0KgUDiQvy
Ashbury Heights,3rclGaNhwMNMcU2GkN91j9
Ashen,4TWxrcU01F0lB1PQlcFeHe
Ashes'N'Android,
Assemblage 23,7pwThElmrxl0pjTwXMojCx
Astari Nite,1Kct3q55cU3hJXomNTjMGo
Atlas Plug,39ZK2Yf7SuSmYONbsmDEfv
Attrition,3kQJc2yt98pbSLm3uIgDS2
Aube,6V394G6torkxVfqL39qEgK
Aurora View,4MkU5wBIKoNteEBqXTpMuA
Auto Aggression,4W7yHOrNQIUz26DdylxoJi
Avarice In Audio,09NQhIyhURK6VGcVWB12Tw
Ayria,4BTJnYa0TMqVLjAJ0yFoOE
BAAL,5OIXzogZi85GrRqWR1Uw9v
Babylon Will Fall,6GWCMhljrqaMF0VNUAx3Y1
Babyland,1D9DcIUAR0jiSrMsTui1i7
BackAndToTheLeft,3yCyiP8FKICsKe8Kys3HzI
Balance Breach,2sy77oZSFj4hGs76OQIsgK
Balduvian Bears,3dqKVOPmzsGi6qdEOxaGP9
Barry Adamson,4xoV3kh3rwrWaPc17zyDyY
BASSCALATE,1J5ENyZsMZghTi3RlOe9uo
Basszilla,2bYtbCWcRciSMmPlSTF0Di
Batboner,2A85tufUC5uZKfyfhqYelz
Battery Cage,5qbU43E3GLxi1Vopp7l0NM
Bauhaus,5N5tQ9Dx1h8Od7aRmGj7Fi
Beati Mortui,6Q80Bdql2Fbsi39cemMxNC
Beborn Beton,1DsA0Dbq7WvsNkZZlrRZuz
Becko,6Vu1oZl4ozrU6zqdidyCMU
Bedless Bones,0lUq5d4UJLbjXonBRf2zgF
Being As An Ocean,7ML9AQvVVE3c5m0sx1PlmP
Bella Morte,2SyimynlSU0Oii7p3NYtSV
Bellanox Mystery,2WwVR0OULIPoSjFYcj7zjg
Berliner Bomben Chor,
BESTIAL MOUTHS,0vHo9GceFuSSJjSbF49Uzt
Betraying The Martyrs,4tEWLl4loWFLgs25trNnro
Binary Division,0zVagS46EI6aDwKilf1onT
Binary Park,2ajlVatyUeVIlfZmaWnp8Q
Biomekkanik,6woDROgS1cDnpELgvpWYET
Biopsy,6JNFQmQTsHSQZSlBbYveV2
Black Asteroid,4O955Sa65L8MfJa8hg8q0F
Black Light Discipline,4jiOX22ODaEV0L5sVRF0Pw
Black Nail Cabaret,1PT6vR9L8YA8qKymXfAnRl
Black Needle Noise,3KkYK2dnIfRb9EDrCRndB6
Black Tape For A Blue Girl,2LM56NUYjaQzmYyQkZjBlZ
Blackbook,3gjygQY5Q2P3b5F1ZIP0Dj
Blackcarburning,6g0BqhRJMuLBMP3OANy4co
blac kolor,0JMPJMgHxX0XF2j02suPjZ
Blame Me!,5KKEJKZo0CnjcFwjsRxNqd
Blind Channel,3L58J6a7f0jyy2p6f3MSAs
Blind Effects,5DyTWZLvj2dFOQWuUcVFv8
Blind Faith And Envy,1AQFzL5wKz7GWkaU6Mcs5t
Blitzmaschine,6QgTUcsgkYYymHqqvynfbV
Bloodred Hourglass,5LDGgIxaWuRV4KlY6oob6b
Bloody Dead And Sexy,47YmKMWnvn1TfBanzvAUTc
Blue Stahli,4DWnSG0RYPAds8EIKY26q3
Blush Response,3Mpl6q5GdubLhAFQsHLKGj
Blutengel,2SRu9oxCg91Omb2yMFzttR
Boars,3YN632oQuzuUJqAMcBkXmD
Bootblacks,1TBjRSfTF73IxXTWJZDqjt
Bornless Fire,4LdsI8W2kH1u3QuJ1Y3SjA
Bow Gamelan Ensemble,4P08kzCmMwAYGt1lcO3dw0
Breed Machine,6kEzPpPp6huP9KeySBeVXZ
Brion Gysin,5u9XTaNPsK03x6gCn2E54U
Bruderschaft,6pCn3f8YOHfOUcY2XBS0jE
Bunnydrums,6fxD6PJCIHZfLpdIPOYwbO
Burial Hex,4bLf7x0ktSJ7QC8hBiJhHm
Butzemann,48suX7NkqCc4IXFdxHJCsf
C-Drone-Defect,3XQWGwIYsjZ8gnUxpeELji
C.C.C.C.,718COspgdWOnwOFpJHRZHS
Cabaret,66kJAiUBAMtGFt8R0CaFGz
cacophoneuses,7Miips58GScGEBzqfYZG08
Cane Hill,0DZKzOGHDqGaf1N2pmsBRZ
CANTERVICE,0k2bSz94pyhZ9YUpIPxTMo
Cardinal Noire,7wVgyOC28Yfx6G30Tiov48
CARRELLEE,20OwBs0wTduNSjuQP0SGr0
Cassetter,6rzOP8pWzUuXlniCGCtrcE
Cassandra Complex,3NhBwiq1BSgJg7HMJPlwVT
Cat o'Nine,2peJDUAZ6i3e13Eyusy5JV
Cat Rapes Dog,1VohfJ3VBeTNblM4udW4DH
Cathedral Bells,0a7RruzBySceAPGfmFZtQ2
CattaC,5t7hcK1ScsT3BuFwzigCaf
Caustic,1q8pqceN1XqkdsJ93YxCUr
Cedrik Fermont,7lUyWPwjZwkCdahGOnLfqR
Cell Division,7kr1HdCBUN2DYfwwDO6P6O
Celldweller,4BKyei61gtyDFxlKhcvBJJ
Cernunnos,39Rk2G4wTVmXPRI3OIoYak
cervello elettronico,2NvVsdEqjJsuli9akI5gm5
Cetu Javu,0Ii29zDQKo0MN9ULmVgJoI
cEvin Key,5h7b6M62frh97O68HEneX1
Chabtan,6nihJv43MlV1gKiJwhXwiw
Chameleons,4HLWX9kzfraiCsTvrxJEXm
Chernaya Rechka,2kTPOGDg98QiJLEmvWUlmn
Chiasm,6EYewgLNqb3zWJd9HRHGIg
Chimehours,2QirPuDWkKeLD0c0jZrccu
CHOKE CHAIN,05Bn8DwUlvgCvMLnhcVxQ9
Christ Vs. Warhol,2c1ubGcLgTEH45ASSQyRU9
Chrom,2mV8aJphiSHYJf43DxL7Gt
Chrysalide,0hAJHiEjxL4KNvEgNzDebB
Cima Muta,4aokV3tpiWfFKhutIt9GID
Cinema Strange,1rbA8kgsBFQLlwLfErsLIW
Circle of Dust,60GtR6PIcDY1pikPgKHNk9
CIRCUIT PREACHER,6gScKbAdCssjuT2lwdFBzO
Claire Voyant,51dnWmy6IGp9FDFUV1Yfst
Clan of Xymox,1wHmR7I0UlF58WFQexCPha
Client,3xZBpeXHkSjTKQIR1OeKN0
Clockwork Spirit,6kheDNWOWHi7C7T9ZQsB6y
Cloud Rat,6Fbes1fH0ZDS0XGjDx2YeG
clubdrugs,7vrRNsACRMUWrecv4hEmjL
Cocksure,1pD1JKzCEp1S9dE7ATg2xI
Codex Empire,0kG9fbMSeXKXLI5w6f9YXj
Coil,4AGwPDdh1y8hochNzHy5HC
Cold Cold Ground,2z9rvr2F3q1wwNCcwWlc46
Colony 5,0XB14ZHrZsqaWDJeQGLMem
Colossloth,43ALFTXWGyFiFjzDRMv82a
Comaduster,7qiPN4EfYY3qZqZwaAKzN5
Combichrist,5556RAgwP70PnXbaUTGNbR
"Common Eider, King Eider",4yPOM9iKDJzYHoeld2zXC8
Concrete/Rage,2AibDDQdiP2uc768u5VCl7
Consvmer,1kJPCB066I6xZNqadwZx9C
Coping Method,4uSRlTBx51YUK6acPGLLZs
Corbeau Hangs,03lz9QqEp5inePcLXnMlS0
Corlyx,2K8LJm6DxnMVU6fQklN5Z5
Corpus Delicti,7gS5jg683LHmjEY540cmH5
Corrupted,04WXOquEyJfOkOsV1tTSdP
Cosma Nova,3T6mFeCeCahM05Y8bzzCwn
Covenant,2F2932LEa8ahflK2xDYKWj
Crisk,2c9XNXeNTCfQ38ciCi1yPr
Croc Shop,70z9Mfwl2li9lEOk5pn7bp
Cryo,4AGwPDdh1y8hochNzHy5HC
crystal geometry,5Jia5DC6RgQpM5pa1LY4dW
CULTTASTIC,6JwuewykwniZF6wWRrHG5q
Curse Mackey,0usgY8btlTK2oA5B2nxaSC
Cyberaktif,16B17I8CNY5MjN9N63k289
Cyborg Attack,2r4a2sG0AmqMi6uiLPc8iO
Cynical Existence,5qAwuO6ajfrHLqCiCO7z5l
CZARINA,3iidbcDBg4BOBD5a927q0Q
D. Carbone,0F82q1VFpAjo3rXD4U3p6C
Daedric,7bPZIHM9End5CqPcCrOqBf
DaGeist,5U7iBUpmZeN9nAjYtezMYJ
Dance my Darling,5lQzo64rb1KHmk2UqG5QdZ
Dancing Plague,4oJqMEXMl9AaEYqlFk4UgY
Dark Drive Clinic,
Dark Side Eons,4UMZ1Ur6MLXUVbm92SJJFC
Darkcell,0DjpT3SNCqLQlHSGPD51Tp
Das Ich,7LhCMNjTNM9R2a0fajH9l8
Das letzte Lager,2eJpuv6XxGXAKe06X9wReB
Data Void,4vZdncrNRT0EFC3Tvm4D1q
Dave Ball,5TmkEFNzqJ45bYY6sliDSZ
Dawn of Ashes,35Uzsa9o0tZkdC4ZBtXuNV
DEAD LIGHTS,5POkjbRYBWVsN4lDMFGFfM
Dead Quiet,5zNDL3ziMKzDJ73D5jZYXS
Dead When I Found Her,0gBm2aEXTuXG0y5cctBIO7
DEADLIFE,6YAOorJSNGWyH8m9N7cDeX
Deathless Legacy,1syX6SCTjW1fku8iUyQm2r
Decoded Feedback,0FygehkbRf5gdMQOfEOXxO
Decree,4U1MwcyckbCmaIBKw9wbmm
Defence Mechanism,57YYVmZL4pwu2tKGpjzlaU
Delerium,0IUq1plF3ON4Fboj1bE6kN
Delica-M,6FTztyDV3UZxo4oiFSsKOV
Demoncast,6NOeOFqHfskUEE8xZYldMz
Dero Goi,4oT317XjfNqi7Iv2VLTrDV
Desdemona,5DVHqbc9A58vDmtMsiQl5K
Desert Mountain Tribe,3rcezPbzDaYldMSDgqgDMw
Despairation,2hnYUZoYIYKFQ9p6CnEnXH
Detset,7I3W4NmA6wXIpM6JeFsQxe
Devil-M,63knPlGzLHTNDf1J78Fvte
Devilskiss,1XZtlT3j7Zq7ofGLM30s6X
Diary Of Dreams,1tg5jMp8FFjVqjgoxuEbSR
Die Form,4EtqRPBTABMndC9NYOkBAA
Die Krupps,0iDagYU2nu7gTWMdtCxzxW
Die Sektor,0W1J1MiKujM7L8PSaJipKP
Die Selektion,4RuwsXTtshHIbbhgi7nAxY
Diffuzion,470BE8FwzIueH0LyRM9NQA
Digital Factor,5sAwuadZRVSjRnPxUdG7c9
Din_Fiv,372ipqKTMxTWhyPhOskzY5
Dioxyde,7brmLOOTT9t4IkXnfv1rqp
dirty k,7n9L6w44m2QDtKiMe762DW
Diskonnekted,15WGC7eScFoYuOLeGnfF6T
Dismantled,07EFLOqGqf1uKPcvepbSIS
Diva Destruction,0sihUgNjtwDbiNP1GPU0nO
Dive,6C5G4YRhQLa6pB7RSf59lQ
DJversion666,0wBnNhxqkKl4YyrsCEEFsn
Donbor,56mXBoiHYV9QEJxHS5TPk3
Dope Stars Inc.,0b3Ih1VYdJfBfCPulSWBoA
Dorsetshire,1NwQ57GZF6iwwGKRJPoPId
Doubting Thomas,0TyhxIjwdnCm57NJAzNEmK
Download,0Jdd6HvNahUOi9SyDFq4Le
DR. Kövald,
Dream Recall,57GsKSYBMIVwOCALi1YQEz
DreamReaper,3ymwdUUHPaNIVeWoACbiIg
Droom,36P4zQxOGCSabr44bXS8kW
DSTRTD SGNL,4ISX2aRyZ10uoLtypdPNai
Dubharp,5mfOWhMZhGvPJY8e1aX7P3
Dust in Mind,6i49PLA6jBtxQhb1nxGhM7
Edge Of Dawn,5B5VUAt1DgFd06la5kboim
Eden Weint Im Grab,21CxpiWOhKzGa8HQuNGIDi
Effter,5pGUz1MwElJ0CJNmkGLQZJ
EGGVN,3FZXhEOryQXrTUs43sgH8H
Ego Likeness,57sd8Uae6udFZ1hipB9ld4
Egomey,7GJI2owp0Eqz3DTOkI70Qv
Einheit Meister 08.11.81,
Eisbrecher,6ul6vL8Hg5jTulDi0Ac8ao
Eisenfunk,6VMsDolxD0gqjdLadDpUzj
Electric Six,4xNadaO5ZZLVJdqDIVVIua
Electro Assassin,2T4rwXt5OXdpdvnT8qRvQ5
Eleven-Fx,31mx5JhRpXMBTnJNULQlYz
Emarosa,68tKVjVvcqUfKFFLr2j0Ek
Emelie Autumn,
Emergence,0VzjGHBEq1AjqXabKQIRUm
Emme Ya,0amhWjC54uDOu913oSBtOl
Empirion,6OY3DiRJRy3Ft6V3dmios7
empusae,6JR94O95zdJY8MCTkmE28T
Encephalon,7Gl0BmChpd9W6N7NpSp08A
End.user,2uyXd7oApuPaBwpx0kDpWY
Endanger,1VQB0XIrSpZj3xR4HQ3yvO
ENMY,0DJJrg8eUagEWZXFgwKJfM
Entrzelle,7E07y9odlPu5zJcm8zjhkd
Epochate,
Epsilon Minus,4s4qzigUo8HJFpTZxRsbcY
Erdling,1YbFcjdUGqumvNIWLVGcJK
eric de vries,5eCPrM0kMNG6Vrdi66Csw3
ErilaZ,1Mp14k62VHI5wINML1LcME
ES23,61nRkVt5Cyude8rp8MXJM5
ESA,3EK1eCIbh3eDCkLdbMQHpT
espectra negra,1rIvtUjLVoPBAB82oPn6fe
esplendor geometrico,2fdQ3IohBfaqdzJdLjPQ7S
Essence of Mind,7lmORDwDLPMdqLyMh2uH8v
Essenger,3vc0JWD1Nj1VLrgJ1x3cjE
EURINGER,0tP6FIlMVLyL77iQxW2rbD
Eva O,5bi4lyuj5ZrayYKlibl9ij
evo-lution,2xbIidyu8EWRW7doYMn0kh
Everything Goes Cold,17wBW4RjBX1KWmYgTILTna
Evil Cowards,7fCW0vmLnJA9gZuASCjgPm
Extize,0P34y61dZnxYluCC6zLcmj
Extra Terra,4wjUOQuVVl9qzSdSX1E1yU
Faith and the Muse,3waFze2hMUecCLD0BJ4rvU
Fallcie,0uSoKm0GMy4wMgbRo9B8dl
Felix Marc,0j6w8JsaZsx5Vs3qECKnAx
FGFC820,32raKeUHkfUVqgGHbIPD2u
FiXT,5NHJiPzOi1EFeCB8WBiVKH
Flesh Field,6yf3GRyJ6hVtk9ahV5kflO
Flint Glass,3NI7HBKkveI82urujEYkHX
FM Einheit,1TXXPn0aiOYzc0QoYrAqa2
Fotocrime,4FISVeBOWY3NwQsTUc7aVE
Freakangel,0hzKupAbz8hUjefShrBl3l
Freaky Mind,6ODqwdkjyJBi5t0sOaIzA2
FreqGen,6oeaLiDP3MgxDxSY1wMSbe
Front 242,2tyMOS8xKREgpEwHnLc6EX
Front Line Assembly,5QYAExYvxixCVwX70SRf7F
Frozen Plasma,60OFBH3eDdUxP7ost2ul96
Fury Weekend,7KxS1dL7Q7jxMkyb2ZvzXH
gatto nero,4yn3LKTVU5VAQxwsH8KGEz
geistform,5gC9m4GjNdHNmOcV4qJPf9
GENCAB,5IN6zApha7pbFhLfAO8u14
Genetic Selection,6KzBao1akavzvmmZ6A24UY
Geneviève Pasquier,75PROyX1RBOhEK5bnyz59m
GGGOLDDD,6ggf9cwxdhYNLFPhf4CazJ
Ghost & Writer,7mPZiFgBno9llCEStgGZbW
Ghost Twin,3K2af5DTF6zzjujvfFATs9
Girls Under Glass,5eTXnFPGx2tTzCEYwCNy5v
Glass Spells,6a4xrf2tjp1zo2osASzWOQ
Glis,2CceCGQxwNsrvAClrB83ji
God Module,1DoGu017HBH9armSl4M0Sb
Grendel,28D0LIS1y01QS8fbh9dXVk
greyhound,1FcTd89N9ESEOsIDD883Kp
Ground Nero,190prHxAJPrlXCKh91sRWD
Gyze,4wzx1bM4lkwAeYADrEPuN5
H.EXE,2hbidzLIu57qb0VsUDXDrX
HALLOWS,4pw10fTRjfQtjRhy25G5W6
Hands Productions,5PsTPXO2jHtPUCayApQ589
Hangwire,3j3890vd4SZyfiIyDQ9y4t
Harsh Mentor,0Ce9Q5Uz7jeuclsa3K7nNc
Hasswut,551PazHmfLOfvUkQdMGJpF
Hateful Chains,1unjQOmaDuD6sAjBo1eyaG
Hatesex,2jrOaFjkYZHdcWIYuXq5v4
Haujobb,0qp8mfuI3N8zOHbRDNHrkZ
Heimstatt Yipotash,3AE6nY9tlyAMHp38IoghHi
Helalyn Flowers,5CFRT4EE1wxkU2aqVyHMJb
Henric de la Cour,30fLO9Dkwb18LCla13Mhuu
Her Own World,24FZxRSJPRaf3Jp31O6ZZZ
Hocico,5cilSDFcAQcLwh0dNqMhrE
Human Performance Lab,6RxT4SuQWFUV2xqlj70YpF
Hungry Lucy,7oVYPwOxWuGygnXYpZLm4a
Hypnoskull,16kAtlbwmYgBoKzcurlbUl
I Will Never Be The Same,5gWDvr9V4KoC2boyZD13WT
icd-10,39D4WHaq6tP6vCNjkXTWPz
illegal trade,0MexSi5IyWhOxhLqmjpznX
Imminent,29rS8be1ancKZ0ATnmGWTl
Imperial Black Unit,5FYg9PMOvubvG8zu8KbYuj
Implant,71eaEMe0KF9EUJUvIINsAY
incendie,37nzZLSCaZDKAPPieWaJH0
Infacted Recordings,
Information Society,6bJUzb3mLEYCkTAp7eNJgO
Inkubus Sukkubus,5TcSmqbuyYcyn396CFLwPr
Involucija,7pyrQNeHfCO0SHPzW074VZ
Iris,1pCnl9PbA9JaffWHMiSXuT
Iszoloscope,6VkujJifZO9UQvkXGLNQ6L
Ivory Frequency,2CvRYieEoRkGLu8ULP4Z4y
j:dead,4QMYdqiJf5bEC7P0EHbnxn
Janus,0MeUJOSv5a75mNQzh266Ay
Jason Alacrity,035976RzO1GaVwylNqU82r
Jean-Marc Lederman Experience,2S4MwlPx4imMUfKAunZXWo
Joshua Murphy,3TaDAEb6dHJgNACd3T4WxT
Junksista,3ungAMkCzRLuMyqt5T3FQP
Kælan Mikla,28meEMqGpDrolyQ9OVoDAH
Kami No Ikari,50w6So1pU1erYm1J3cGxXY
KANGA,059rQbGIaUckBPLuhcHmUM
Kant Kino,0XX5NRPx4mai1cgXIunepN
KAUAN,2Z0lRIqr997lIUiPtrpKCr
KEN mode,1riHqX633Kup3mJAw8WR8p
Kevorkian Death Cycle,2C4woX8ytpYBN5U7iFauAu
Khost,0FMz8eOkVAaaeF8JocZJgD
Kill Shelter,1hl06hvbtecgkhML5iVf5B
KiloWatts & Vanek,4ERz5g7rMly9D6W2teko1V
Kirlian Camera,6b5KqGQYLUb3NuD2G6W2Op
Klayton,2oeTR8PtEB9NV4jicZXRt3
Klinik,2KczmhlmHUuDVVtkXJjgAc
Klutæ,15ldt5d2AcWBsXvZFZm7lB
KMFDM,3V4IvzRQYP5mzuVtkcHgVa
Kollaps,6XEcMSGuyKvUqt6UI3I7Ou
Komor Kommando,127BgBsBezdmT8YvxiO94t
Konstantin Unwohl,1paiVvuz7pRxsb3tTkJOSd
Kontrast,1EVcRMkgumpxDyoJfvdrpS
Kontravoid,1cZNxWhPe9pKXdVZZdA9Bz
Krystal System,34IxeAY58XxcEJxdLRR3MR
La Breiche,5XBEE34h7ldAP1r6G065zw
Laibach,7l4LQfvN4yz8zbK4WY0AAg
Lead Into Gold,31AGUo9XdSojGBaIRvLOPl
Leæther Strip,0klcoRwPQF1GMv8FrA7F8V
LEATHERS,6QZdgsd7NHLTvcPt5RS5ll
Liebknecht,1aXfzKT86fzIXWGjjjMdZA
Lights Of Euphoria,4o2H4Ep301KwKiMsa0EkHe
Llyn Y Cwn,0dk7AsedniLfbzZFCuVNm8
Logical Terror,71RNihAnOuMIGlq9zQiDXx
Louisahhh x Helsmoortel,
Lovelorn Dolls,5LRTjy2y6L1hn8JcdpOqVz
Ludovico Technique,1QLq3DjHn8KdTfUig43wP1
Lull,5AUPJRWkYNsxRWihENePtH
Lynn's Intention,
Lys Morke,5hsi0GQ3g4uiWRoEK0p80H
Machinefabriek,4Tzunwe7m9sBMSsmEV49Qo
Madeline Goldstein,0qtVLVzUD4Qglw7wW90QqO
Male or Female,7JYaQvvhlnQ0CgtMpEy9ZG
Male Tears,4URGzwxaOCq4ASrH5QlNqa
Maniac / Skitliv,
Mares of Thrace,0qeQtOu0Sd9qCkqFl4OEd8
Masonna,00ESOUu2kJw00iHIulANE6
Mass-X-Odus,1T5ZmBxeTle49rJ1US4Q3y
Max Durante,6YjoVQqV8Y8LTcdAzYpKc7
Melania.,4fLN4MdVopdfWB5nZ9p3at
Mentallo and the Fixer,0kH01XHMN4NFDO65akV5Fd
Mephisto Walz,7lv3S4wbdU3j2xC8qFvbIU
Merzbow,5UezsklPScipW64XJm7qql
Mesh,3ggwAqZD3lyT2sbovlmfQY
Metroland,2jkEEDisTNyfxfkLbez8N0
Mildreda,4urB3ruRWnEw1Z9Dy33lxg
Mind:state,4fyOziQW8idDGt8352pAEZ
mind.in.a.box,7oFwFLcW5btR2tHAnPqnDH
Miseria Ultima,5dreICjobUXpX6DT6J8fHi
Misscore,6VpeB27vn2cN46LESFuiof
Mnemonic,3WiV7KKn3KJxXT30DdI7PP
Model Kaos,4xAxyCIJp1G11U3P6ODfQS
Mondträume,6NbjqapY9YWNG1dcW7ea6R
Monica Richards,3EBRSyaheukWGO8dAzgEY3
Monolith,0bbPxPcaed3Td8DqCxBmBP
Moonlight Asylum,0UiBCJLhia2F1GP3xmLHrB
Morgenstern,6nMxYJRqJcmuOFtheuVChY
MORTAL REALM,5yZwUkpKAVVDYF9bnvdTlN
MORTES,1EQMdsavfwdRftdb7T5Xd6
Moyra,6nBhUgASfONHQmsWajjQuf
Mr Jones Machine,2DN8W39IczbgysUzCnL3hb
Mr.Kitty,0pWwt5vGNzezEhfAcc420Y
MZ. 412,2pYhuSF1JoMjqnyuV2uf3V
Nachtmahr,1wGcs6i2IJbgXxE3bDIm9k
NDE,7k7bd1xz4SmAXG9lKZqZUb
Nebula-H,5tjE7fMmvRra46r6Hz3aOA
Negative Gain Productions,
Neikka RPM,4TKdKriHYTcXcLTLcTRPaf
Neuroklast,5xfQSijbVetvH1QAS58n30
Night In Athens,3PXKzr1DgudRXMJo92NX4e
Night Ritualz,1d8Qzxg7xz35YJugFqsLXp
Nitzer Ebb,7EnAgffrVyerTWH628TJ6f
Noise Unit,4lgM2tyo1khStD5gl171Au
Nordvargr,0KHO40wTTnd9s8pBE7jOEx
Nox Novacula,7kNH9Eo1oB8yI9lEwekRvp
Nytt Land,6NQ701XGEJodDZ5lqVtrBp
Oberer Totpunkt,2vpsjD1lIWjqoTY24w3Swj
Ocean Dark,7AaXBzac4xsrGs4qAb3VDx
Octo Crura,5Fmo8XWXMX9MVcbLJXsLUC
Omnimar,2QzxBZb43cSo7ifPXE4UjO
Orange Sector,0nxMaqbFU9W3dPV9TchWlc
Orphx,4mNIz9D4L2JGnpUmkvMFMV
Out of Line Music,
OvO,3kYFawNQVZ00FQbgs4rVBe
PANIC PRIEST,3usGffJhXe49BipfB6wLdV
Penny Rimbaud,6DzlPnRAyZGt6OdxniTdxq
Philipp Strobel,1RwEMsMUN3SGjI0FFeNb8y
Ploho,0lhop4yW50hbErLnAn4vEy
Portion Control,6M4dtbJkJLIR2GOsHJgRnY
Project Pitchfork,0DLfONSFG8AA0cQvh1yCrz
Protokoll 19,5RaZbbUyty08vVznWTaAlS
Psy'Aviah,0YfhePoSCw0rUicAFr4Tgz
Psychic Graveyard,4i09YoyjD3V14WcaLDfn3b
Psychic TV,3oi0s3WIuxBU5oh87n7za2
Psyclon Nine,5Wqztnja4JFJ7WNcGLzAzb
Rabengott,3UgHokquTWEIcRIWiy5Yw8
Radioaktivists,4fY30VmU6LzXSUZ2z7keud
RATIO STRAIN,25FlTpHFipI3I3Xor2HpCB
Reaper,75klPfIVnyYcyEGaicRUSF
Rendered,0ku2wH38bbjXZls6OFbSVE
Reptilicus,5D3d9sW1q8DG91P3IfW4HJ
Rhys Fulber,3aswb2tJV8Qys1Xufxn59P
Rome,6C5G4YRhQLa6pB7RSf59lQ
Rotersand,0zUDeBCtajKzgNJTeWQiNi
Satori,5nri3hyKmKBGAfvjBi0mK0
Scandroid,27qG899eLldfpYtPr3S3NJ
Scarlet's Remains,0dHj7e9CDSgk0VfA9ViTTH
Schloss Tegal,6Xpyj6MtNNJucYv60MiwUz
Schwefelgelb,0gvrCzDfdcHWrTOanKBlJL
SDH,5kN8SrSWVuOBfC27WztXCa
Seabound,3LaHU3Xcdpq4UvTj74uYiK
SEDVS,4MoCPQEZqegox8Ng6SUGrb
Seeming,3ddHr07lVWei2wkTMiR245
She Spread Sorrow,0LrdutWJfsM1Tux8ZBE5b1
